20 Microns Ltd.	20MICRONS
3i Infotech Ltd.	3IINFOTECH
3M India Ltd.	3MINDIA
A2Z Maintenance & Engineering Services Ltd.	A2ZMES
Aafloat Textiles (India) Ltd.	AKAIMPEXBE
Aanjaneya Lifecare Ltd.	AANJANEYA
Aarti Drugs Ltd.	AARTIDRUGS
Aarti Industries Ltd.	AARTIIND
Aarvee Denims and Exports Ltd.	AARVEEDEN
Aban Offshore Ltd.	ABAN
ABB Ltd.	ABB
Abbott India Ltd.	ABBOTINDIA
ABC Bearings Ltd.	ANTFRIBEARBE
ABG Infralogistics Ltd.	ABGHEAVYBE
ABG Shipyard Ltd.	ABGSHIP
Abhishek Corporation Ltd.	ABHISHEK
ACC Ltd.	ACC
Accel Frontline Ltd.	AFL
Accelya Kale Solutions Ltd.	ACCELYABE
ACE Laboratories Ltd.	ACELABBE
Acropetal Technologies Ltd.	ACROPETAL
Action Construction Equipment Ltd.	ACE
Adani Enterprises Ltd.	ADANIENT
Adani Ports & Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adarsh Chemicals & Fertilisers Ltd.	ADARSHCHEMBE
ADC India Communications Ltd.	KRONECOMM
ADF Foods Ltd.	ADFFOODS
Adhunik Metaliks Ltd.	ADHUNIK
Aditya Birla Chemicals (India) Ltd.	ABCIL
Aditya Birla Minacs IT Services Ltd.	PSIDATASYS
Aditya Birla Money Ltd.	BIRLAMONEYBE
Aditya Birla Nuvo Ltd.	ABIRLANUVO
Aditya International Ltd.	ADITYAINTL
Aditya Spinners Ltd.	ADITYASPINBE
Ador Welding Ltd.	ADORWELD
Advance Metering Technology Ltd.	AMTLBE
Advani Hotels & Resorts (India) Ltd.	ADVANIHOTR
Advanta India Ltd.	ADVANTA
Aegis Logistics Ltd.	AEGISCHEM
Aftek Ltd.	AFTEK
AGC Networks Ltd.	AGCNET
Agnite Education Ltd.	TELEDATAGL
Agro Dutch Industries Ltd.	AGRODUTCH
Agro Tech Foods Ltd.	ATFL
Ahluwalia Contracts (India) Ltd.	AHLUCONT
Ahmednagar Forgings Ltd.	AHMEDFORGE
AI Champdany Industries Ltd.	AICHAMPBE
AIA Engineering Ltd.	AIAENG
Aimco Pesticides Ltd.	AIMCOPESTBE
Ajanta Pharma Ltd.	AJANTPHARM
Ajmera Realty & Infra India Ltd.	AJMERABE
Aksh Optifibre Ltd.	AKSHOPTFBR
Akzo Nobel India Ltd.	AKZOINDIA
Alchemist Ltd.	ALCHEM
Alembic Ltd.	ALEMBICLTD
Alembic Pharmaceuticals Ltd.	APLLTD
Alfa Laval (India) Ltd.	ALFALAVAL
Alfred Herbert (India) Ltd.	ALFREDHERBBE
Alicon Castalloy Ltd.	ALICON
Alkali Metals Ltd.	ALKALI
Alkyl Amines Chemicals Ltd.	ALKYLAMINE
Allahabad Bank	ALBK
Allcargo Logistics Ltd.	ALLCARGO
Allied Digital Services Ltd.	ADSL
Allied Resins & Chemicals Ltd.[Amalgamated]	ALLIEDRESBE
Allsec Technologies Ltd.	ALLSECBE
Almondz Global Securities Ltd.	ALMONDZ
Alok Industries Ltd.	ALOKTEXT
Alpa Laboratories Ltd.	ALPA
Alpha Geo (India) Ltd.	ALPHAGEOBE
Alpine Housing Development Corporation Ltd.	ALPINEHOU
Alpine Industries Ltd.	ALPINEINDBE
Alps Industries Ltd.	ALPSINDUS
